team,abbreviations,Player,games,points,rebounds,assists,salaryProportion
Philadelphia 76ers,PHI,Tobias Harris,62,19,6,3,2397.6023976023976
Philadelphia 76ers,PHI,Ben Simmons,58,14,7,6,2103.896103896104
Philadelphia 76ers,PHI,Joel Embiid,51,28,10,2,2103.189477189477
Philadelphia 76ers,PHI,Danny Green,69,9,3,1,666.000666000666
Philadelphia 76ers,PHI,Seth Curry,57,12,2,2,545.1912753912754
Philadelphia 76ers,PHI,Furkan Korkmaz,55,9,2,1,308.3336663336663
Philadelphia 76ers,PHI,Georges Niang,72,6,2,0,219.78021978021977
Philadelphia 76ers,PHI,Matisse Thybulle,65,3,1,1,189.15484515484516
Brooklyn Nets,BRK,James Harden,44,24,7,10,1525.9439707673569
Brooklyn Nets,BRK,Kevin Durant,35,26,7,5,1424.0090481990603
Brooklyn Nets,BRK,Kyrie Irving,54,26,4,6,1215.1104924308336
Brooklyn Nets,BRK,Joe Harris,69,14,3,1,604.0418653210371
Brooklyn Nets,BRK,Patty Mills,68,10,1,2,204.97650948320864
Brooklyn Nets,BRK,Bruce Brown,65,8,5,1,164.81997563946408
Brooklyn Nets,BRK,Landry Shamet,61,9,1,1,131.14118670610753
Milwaukee Bucks,MIL,Giannis Antetokounmpo,61,28,11,5,2328.518080132568
Milwaukee Bucks,MIL,Khris Middleton,68,20,6,5,2100.964668284311
Milwaukee Bucks,MIL,Jrue Holiday,59,17,4,6,1783.3540273421318
Milwaukee Bucks,MIL,Brook Lopez,70,12,5,0,787.2595727052139
Milwaukee Bucks,MIL,Pat Connaughton,69,6,4,1,315.6378647097118
Milwaukee Bucks,MIL,Donte DiVincenzo,66,10,5,3,276.72545422264307
Milwaukee Bucks,MIL,Bobby Portis,66,11,7,1,482.4377108362431
Milwaukee Bucks,MIL,Grayson Allen,50,10,3,2,239.9653784695508
Milwaukee Bucks,MIL,George Hill,30,8,2,2,236.72841332780968
Milwaukee Bucks,MIL,Bobby Portis,66,11,7,1,482.4377108362431
Milwaukee Bucks,MIL,Jon Leuer,0,0,0,0,187.5686216488134
New York Knicks,NYK,Julius Randle,71,24,10,6,222.98552846444056
New York Knicks,NYK,Evan Fournier,42,17,3,3,204.28554535728364
New York Knicks,NYK,Derrick Rose,50,14,2,4,151.41753477110197
New York Knicks,NYK,Alec Burks,49,12,4,2,107.39343431499522
New York Knicks,NYK,Nerlens Noel,64,5,6,0,99.10467931752915
New York Knicks,NYK,Kemba Walker,43,19,4,4,98.30530998367026
New York Knicks,NYK,RJ Barrett,72,17,5,3,97.1216847795484
New York Knicks,NYK,Joakim Noah,0,0,0,0,72.43274959175629
New York Knicks,NYK,Kevin Knox,42,3,1,0,65.83679261219663
New York Knicks,NYK,Obi Toppin,62,4,2,0,57.49377780280421
New York Knicks,NYK,Taj Gibson,45,5,5,0,55.29590630103046
Atlanta Hawks,ATL,John Collins,63,17,7,1,731.7849188673242
Atlanta Hawks,ATL,Danilo Gallinari,51,13,4,1,651.4476614699332
Atlanta Hawks,ATL,Bogdan Bogdanovi,44,16,3,3,572.7012408526886
Atlanta Hawks,ATL,Clint Capela,63,15,14,0,544.175882914413
Atlanta Hawks,ATL,Delon Wright,63,10,4,4,271.2795418390073
Atlanta Hawks,ATL,Trae Young,63,25,3,9,264.9211263124403
Atlanta Hawks,ATL,De'Andre Hunter,23,15,4,1,247.3878460069997
Atlanta Hawks,ATL,Onyeka Okongwu,50,4,3,0,194.21826280623608
Atlanta Hawks,ATL,Lou Williams,66,11,2,3,159.0836780146357
Atlanta Hawks,ATL,Cam Reddish,26,11,4,1,148.58924594336622
Atlanta Hawks,ATL,Kevin Huerter,69,11,3,3,135.32793509385937
Atlanta Hawks,ATL,Gorgui Dieng,38,6,3,1,127.26694241170856
Miami Heat,MIA,Jimmy Butler,52,21,6,7,1439.7841295222865
Miami Heat,MIA,Bam Adebayo,64,18,9,5,1123.467919248451
Miami Heat,MIA,Kyle Lowry,46,17,5,7,1078.7178892664401
Miami Heat,MIA,Duncan Robinson,72,13,3,1,622.0267839296422
Miami Heat,MIA,Andre Iguodala,63,4,3,2,705.2444933040176
Miami Heat,MIA,P.J. Tucker,52,3,3,1,279.83210073955627
Miami Heat,MIA,Ryan Anderson,0,0,0,0,208.4582850289826
Miami Heat,MIA,Tyler Herro,54,15,5,3,160.07515490705578
Miami Heat,MIA,Udonis Haslem,1,4,1,0,105.60427743353988
Miami Heat,MIA,Markieff Morris,61,6,4,1,105.60427743353988
Boston Celtics,BOS,Jayson Tatum,64,26,7,4,1057.7571606007
Boston Celtics,BOS,Al Horford,28,14,6,3,1016.2219127554669
Boston Celtics,BOS,Jaylen Brown,58,24,6,3,934.5612179607814
Boston Celtics,BOS,Marcus Smart,48,13,3,5,539.699838157251
Boston Celtics,BOS,Josh Richardson,59,12,3,2,436.599043998645
Boston Celtics,BOS,Romeo Langford,18,3,1,0,143.1879257781625
Boston Celtics,BOS,Robert Williams,52,8,6,1,137.82889834017087
Boston Celtics,BOS,Aaron Nesmith,46,4,2,0,136.67055591102414
Utah Jazz,UTA,Rudy Gobert,71,14,13,1,1638.9904011129145
Utah Jazz,UTA,Donovan Mitchell,53,26,4,5,1303.2019476002781
Utah Jazz,UTA,Mike Conley,51,16,3,6,973.8001391143056
Utah Jazz,UTA,Bojan Bogdanovi,72,17,3,1,867.1458381636911
Utah Jazz,UTA,Joe Ingles,67,12,3,4,649.2000927428704
Utah Jazz,UTA,Jordan Clarkson,68,18,4,2,575.9332251333179
Utah Jazz,UTA,Royce O'Neale,71,7,6,2,402.4377927196847
Utah Jazz,UTA,Rudy Gay,63,11,4,1,273.12775330396477
Denver Nuggets,DEN,Jamal Murray,48,21,4,4,1520.797227036395
Denver Nuggets,DEN,Nikola Joki,72,26,10,8,1468.8245233968805
Denver Nuggets,DEN,Aaron Gordon,50,12,5,3,789.962016175621
Denver Nuggets,DEN,Will Barton,56,12,4,3,1456.9909012131716
Denver Nuggets,DEN,Will Barton,56,12,4,3,1456.9909012131716
Denver Nuggets,DEN,Monte Morris,47,10,2,3,401.1810610437127
