"","x"
"1","Milwaukee Bucks"
"2","Brooklyn Nets"
"3","Washington Wizards"
"4","Utah Jazz"
"5","Portland Trail Blazers"
"6","Phoenix Suns"
"7","Indiana Pacers"
"8","Denver Nuggets"
"9","New Orleans Pelicans"
"10","Los Angeles Clippers"
"11","Atlanta Hawks"
"12","Sacramento Kings"
"13","Golden State Warriors"
"14","Philadelphia 76ers"
"15","Memphis Grizzlies"
"16","Boston Celtics"
"17","Dallas Mavericks"
"18","Minnesota Timberwolves"
"19","Toronto Raptors"
"20","San Antonio Spurs"
"21","Chicago Bulls"
"22","Los Angeles Lakers"
"23","Charlotte Hornets"
"24","Houston Rockets"
"25","Miami Heat"
"26","New York Knicks"
"27","Detroit Pistons"
"28","Oklahoma City Thunder"
"29","Orlando Magic"
"30","Cleveland Cavaliers"
"31","Charlotte Bobcats"
"32","New Orleans Hornets"
"33","New Jersey Nets"
"34","Seattle SuperSonics"
"35","New Orleans/Oklahoma City Hornets"
"36","Vancouver Grizzlies"
"37","Washington Bullets"
