"","Rk","Player","Tm","2021-22","2022-23","2023-24","2024-25","2025-26","2026-27","Signed Using","Guaranteed\"
"1","1","Stephen Curry\\curryst01","GSW",45780966,48070014,51915615,55761216,59606817,NA,"Bird Rights","$261134628\"
"2","2","John Wall\\walljo01","HOU",44310840,47366760,NA,NA,NA,NA,"Bird Rights","$44310840\"
"3","3","Russell Westbrook\\westbru01","LAL",44211146,47063478,NA,NA,NA,NA,"Bird Rights","$44211146\"
"4","4","James Harden\\hardeja01","BRK",43848000,46872000,NA,NA,NA,NA,"Bird Rights","$43848000\"
"5","5","Damian Lillard\\lillada01","POR",43750000,47250000,50750000,54250000,NA,NA,"1st Round Pick","$196000000\"
"6","6","LeBron James\\jamesle01","LAL",41180544,44474988,NA,NA,NA,NA,"Bird","$85655532\"
"7","7","Kevin Durant\\duranke01","BRK",40918900,42969845,42969845,49856021,53282609,NA,"Sign and Trade","$229997220\"
"8","8","Giannis Antetokounmpo\\antetgi01","MIL",39344970,42492568,45640165,48787763,51935360,NA,"Bird","$176265466\"
"9","9","Paul George\\georgpa01","LAC",39344970,42492568,45640165,48787763,NA,NA,"Bird","$127477703\"
"10","10","Kawhi Leonard\\leonaka01","LAC",39344900,42492492,45640084,48787676,NA,NA,"Early Bird","$127477476\"
"11","11","Klay Thompson\\thompkl01","GSW",37980720,40600080,43219440,NA,NA,NA,"Bird Rights","$121800240\"
"12","12","Jimmy Butler\\butleji01","MIA",36016200,37653300,45183960,48798677,52413394,NA,"Sign and Trade","$167652137\"
"13","13","Tobias Harris\\harrito02","PHI",36000000,38482759,40965517,NA,NA,NA,"Bird Rights","$115448276\"
"14","14","Khris Middleton\\middlkh01","MIL",35500000,37948276,40396552,NA,NA,NA,"Bird Rights","$73448276\"
"15","15","Anthony Davis\\davisan02","LAL",35361360,37980720,40600080,43219440,NA,NA,"Bird","$113942160\"
"16","16","Rudy Gobert\\goberru01","UTA",35344828,38172414,41000000,43827587,46655173,NA,"Bird","$158344829\"
"17","17","Kyrie Irving\\irvinky01","BRK",34916200,36503300,NA,NA,NA,NA,"Cap space","$34916200\"
"18","18","Bradley Beal\\bealbr01","WAS",34502130,37262300,NA,NA,NA,NA,"Cap Space","$34502130\"
"19","19","Kristaps Porzi\\porzikr01","DAL",31650600,33833400,36016200,NA,NA,NA,"Bird Rights","$65484000\"
"20","20","Devin Booker\\bookede01","PHO",31610000,33790000,35970000,NA,NA,NA,"1st round pick","$101370000\"
"21","21","Karl-Anthony Towns\\townska01","MIN",31610000,33790000,35970000,NA,NA,NA,"1st Round Pick","$101370000\"
"22","22","Ben Simmons\\simmobe01","PHI",31590000,33930000,36270000,38610000,NA,NA,"1st Round pick","$140400000\"
"23","23","Jamal Murray\\murraja01","DEN",31590000,33930000,36270000,38610000,NA,NA,"1st Round pick","$140400000\"
"24","24","Joel Embiid\\embiijo01","PHI",31579390,33616770,43732500,47231100,50729700,54228300,"1st Round Pick","$206889460\"
