team,abbreviations,zip,med_sal,Rk,Player,Salary,codes,links,games,points,rebounds,assists
Philadelphia 76ers,PHI,19120,15015,13,Tobias Harris,36000000,harrito02,https://www.basketball-reference.com/players/h/harrito02.html,62,19,6,3
Philadelphia 76ers,PHI,19120,15015,22,Ben Simmons,31590000,simmobe01,https://www.basketball-reference.com/players/s/simmobe01.html,58,14,7,6
Philadelphia 76ers,PHI,19120,15015,24,Joel Embiid,31579390,embiijo01,https://www.basketball-reference.com/players/e/embiijo01.html,51,28,10,2
Philadelphia 76ers,PHI,19120,15015,129,Danny Green,10000000,greenda02,https://www.basketball-reference.com/players/g/greenda02.html,69,9,3,1
Philadelphia 76ers,PHI,19120,15015,162,Seth Curry,8186047,curryse01,https://www.basketball-reference.com/players/c/curryse01.html,57,12,2,2
Philadelphia 76ers,PHI,19120,15015,231,Furkan Korkmaz,4629630,korkmfu01,https://www.basketball-reference.com/players/k/korkmfu01.html,55,9,2,1
Philadelphia 76ers,PHI,19120,15015,281,Georges Niang,3300000,niangge01,https://www.basketball-reference.com/players/n/niangge01.html,72,6,2,0
Philadelphia 76ers,PHI,19120,15015,299,Matisse Thybulle,2840160,thybuma01,https://www.basketball-reference.com/players/t/thybuma01.html,65,3,1,1
Brooklyn Nets,BRK,11226,28735,4,James Harden,43848000,hardeja01,https://www.basketball-reference.com/players/h/hardeja01.html,44,24,7,10
Brooklyn Nets,BRK,11226,28735,7,Kevin Durant,40918900,duranke01,https://www.basketball-reference.com/players/d/duranke01.html,35,26,7,5
Brooklyn Nets,BRK,11226,28735,17,Kyrie Irving,34916200,irvinky01,https://www.basketball-reference.com/players/i/irvinky01.html,54,26,4,6
Brooklyn Nets,BRK,11226,28735,73,Joe Harris,17357143,harrijo01,https://www.basketball-reference.com/players/h/harrijo01.html,69,14,3,1
Brooklyn Nets,BRK,11226,28735,194,Patty Mills,5890000,millspa02,https://www.basketball-reference.com/players/m/millspa02.html,68,10,1,2
Brooklyn Nets,BRK,11226,28735,226,Bruce Brown,4736102,brownbr01,https://www.basketball-reference.com/players/b/brownbr01.html,65,8,5,1
Brooklyn Nets,BRK,11226,28735,268,Landry Shamet,3768342,shamela01,https://www.basketball-reference.com/players/s/shamela01.html,61,9,1,1
Milwaukee Bucks,MIL,53215,16897,8,Giannis Antetokounmpo,39344970,antetgi01,https://www.basketball-reference.com/players/a/antetgi01.html,61,28,11,5
Milwaukee Bucks,MIL,53215,16897,14,Khris Middleton,35500000,middlkh01,https://www.basketball-reference.com/players/m/middlkh01.html,68,20,6,5
Milwaukee Bucks,MIL,53215,16897,31,Jrue Holiday,30133333,holidjr01,https://www.basketball-reference.com/players/h/holidjr01.html,59,17,4,6
Milwaukee Bucks,MIL,53215,16897,101,Brook Lopez,13302325,lopezbr01,https://www.basketball-reference.com/players/l/lopezbr01.html,70,12,5,0
Milwaukee Bucks,MIL,53215,16897,205,Pat Connaughton,5333333,connapa01,https://www.basketball-reference.com/players/c/connapa01.html,69,6,4,1
Milwaukee Bucks,MIL,53215,16897,228,Donte DiVincenzo,4675830,divindo01,https://www.basketball-reference.com/players/d/divindo01.html,66,10,5,3
Milwaukee Bucks,MIL,53215,16897,241,Bobby Portis,8151750,portibo01,https://www.basketball-reference.com/players/p/portibo01.html,66,11,7,1
Milwaukee Bucks,MIL,53215,16897,249,Grayson Allen,4054695,allengr01,https://www.basketball-reference.com/players/a/allengr01.html,50,10,3,2
Milwaukee Bucks,MIL,53215,16897,254,George Hill,4000000,hillge01,https://www.basketball-reference.com/players/h/hillge01.html,30,8,2,2
Milwaukee Bucks,MIL,53215,16897,266,Bobby Portis,8151750,portibo01,https://www.basketball-reference.com/players/p/portibo01.html,66,11,7,1
Milwaukee Bucks,MIL,53215,16897,287,Jon Leuer,3169347,leuerjo01,https://www.basketball-reference.com/players/l/leuerjo01.html,0,0,0,0
New York Knicks,NYK,10001,88795,57,Julius Randle,19800000,randlju01,https://www.basketball-reference.com/players/r/randlju01.html,71,24,10,6
New York Knicks,NYK,10001,88795,65,Evan Fournier,18139535,fournev01,https://www.basketball-reference.com/players/f/fournev01.html,42,17,3,3
New York Knicks,NYK,10001,88795,100,Derrick Rose,13445120,rosede01,https://www.basketball-reference.com/players/r/rosede01.html,50,14,2,4
New York Knicks,NYK,10001,88795,140,Alec Burks,9536000,burksal01,https://www.basketball-reference.com/players/b/burksal01.html,49,12,4,2
New York Knicks,NYK,10001,88795,147,Nerlens Noel,8800000,noelne01,https://www.basketball-reference.com/players/n/noelne01.html,64,5,6,0
New York Knicks,NYK,10001,88795,151,Kemba Walker,8729020,walkeke02,https://www.basketball-reference.com/players/w/walkeke02.html,43,19,4,4
New York Knicks,NYK,10001,88795,153,RJ Barrett,8623920,barrerj01,https://www.basketball-reference.com/players/b/barrerj01.html,72,17,5,3
New York Knicks,NYK,10001,88795,185,Joakim Noah,6431666,noahjo01,https://www.basketball-reference.com/players/n/noahjo01.html,0,0,0,0
New York Knicks,NYK,10001,88795,196,Kevin Knox,5845978,knoxke01,https://www.basketball-reference.com/players/k/knoxke01.html,42,3,1,0
New York Knicks,NYK,10001,88795,211,Obi Toppin,5105160,toppiob01,https://www.basketball-reference.com/players/t/toppiob01.html,62,4,2,0
New York Knicks,NYK,10001,88795,223,Taj Gibson,4910000,gibsota01,https://www.basketball-reference.com/players/g/gibsota01.html,45,5,5,0
Atlanta Hawks,ATL,30043,31430,47,John Collins,23000000,collijo01,https://www.basketball-reference.com/players/c/collijo01.html,63,17,7,1
Atlanta Hawks,ATL,30043,31430,53,Danilo Gallinari,20475000,gallida01,https://www.basketball-reference.com/players/g/gallida01.html,51,13,4,1
Atlanta Hawks,ATL,30043,31430,68,Bogdan Bogdanovi,18000000,bogdabo01,https://www.basketball-reference.com/players/b/bogdabo01.html,44,16,3,3
Atlanta Hawks,ATL,30043,31430,75,Clint Capela,17103448,capelca01,https://www.basketball-reference.com/players/c/capelca01.html,63,15,14,0
Atlanta Hawks,ATL,30043,31430,155,Delon Wright,8526316,wrighde01,https://www.basketball-reference.com/players/w/wrighde01.html,63,10,4,4
Atlanta Hawks,ATL,30043,31430,159,Trae Young,8326471,youngtr01,https://www.basketball-reference.com/players/y/youngtr01.html,63,25,3,9
Atlanta Hawks,ATL,30043,31430,167,De'Andre Hunter,7775400,huntede01,https://www.basketball-reference.com/players/h/huntede01.html,23,15,4,1
Atlanta Hawks,ATL,30043,31430,189,Onyeka Okongwu,6104280,okongon01,https://www.basketball-reference.com/players/o/okongon01.html,50,4,3,0
Atlanta Hawks,ATL,30043,31430,218,Lou Williams,5000000,willilo02,https://www.basketball-reference.com/players/w/willilo02.html,66,11,2,3
Atlanta Hawks,ATL,30043,31430,229,Cam Reddish,4670160,reddica01,https://www.basketball-reference.com/players/r/reddica01.html,26,11,4,1
Atlanta Hawks,ATL,30043,31430,243,Kevin Huerter,4253357,huertke01,https://www.basketball-reference.com/players/h/huertke01.html,69,11,3,3
